Roll_No,Name,Gender,Age,Class,Math_Score,Reading_Score,Writing_Score,Placement_Score,Attendance,Study_Hours
1,Student_001,F,22.0,FY,67.3,59.1,71.2,46.9,66.7,7.49
2,Student_002,MALE,19.0,SY,63.8,60.1,79.9,15.0,88.5,9.2
3,Student_003,Female,20.0,BE,87.7,73.2,70.4,25.5,105.0,10.94
4,Student_004,F,20.0,FY,,66.8,51.0,46.0,97.6,3.37
5,Student_005,M,17.0,BE,82.5,64.1,82.7,60.6,75.7,2.84
6,Student_006,FEMALE,-3.0,FY,74.4,72.0,86.6,49.4,74.1,12.33
7,Student_007,Female,21.0,SY,54.4,77.7,78.3,8.7,89.5,13.88
8,Student_008,Female,19.0,TY,105.0,68.9,54.6,5.7,73.0,3.92
9,Student_009,F,21.0,FY,84.6,65.1,57.5,,95.4,4.98
10,Student_010,male,17.0,BE,81.9,66.9,52.2,16.0,92.6,11.72
11,Student_011,M,18.0,SY,92.4,,78.8,17.8,76.3,8.62
12,Student_012,F,20.0,FY,75.1,71.9,85.8,26.6,88.5,1.23
13,Student_013,M,150.0,BE,100.0,81.2,73.9,11.4,88.7,2.39
14,Student_014,M,20.0,BE,56.2,58.2,81.2,19.1,63.9,5.27
15,Student_015,FEMALE,22.0,BE,64.0,62.7,55.9,37.2,94.3,9.86
16,Student_016,Female,18.0,FY,69.1,81.3,70.0,7.6,110.0,7.07
17,Student_017,MALE,18.0,FY,48.7,62.4,48.8,99.0,91.4,5.21
18,Student_018,FEMALE,17.0,FY,85.6,88.6,57.2,80.4,72.2,3.51
19,Student_019,FEMALE,18.0,TY,,88.9,80.3,25.3,94.0,16.22
20,Student_020,M,21.0,FY,70.3,88.7,64.6,34.6,74.8,4.58
21,Student_021,female,18.0,FY,62.0,61.4,84.9,17.3,,9.81
22,Student_022,Female,20.0,FY,47.6,72.9,75.5,5.0,94.4,4.41
23,Student_023,male,20.0,TY,5.0,66.1,100.0,12.8,63.5,1.37
24,Student_024,FEMALE,20.0,FY,81.2,83.1,69.3,72.9,72.1,0.65
25,Student_025,MALE,20.0,BE,66.8,92.5,48.3,31.7,96.1,6.54
26,Student_026,female,21.0,FY,63.6,,67.5,5.0,96.1,8.46
27,Student_027,female,19.0,BE,77.5,72.1,54.5,33.0,81.8,13.18
28,Student_028,male,22.0,BE,87.4,67.6,81.7,72.6,84.0,4.72
29,Student_029,FEMALE,17.0,BE,73.9,79.8,68.6,13.4,77.0,3.98
30,Student_030,MALE,20.0,TY,74.7,57.3,66.1,7.5,71.1,6.23
31,Student_031,Female,,TY,90.6,78.4,66.3,20.7,72.5,1.84
32,Student_032,Male,20.0,TY,72.6,61.0,78.4,81.6,85.6,6.15
33,Student_033,MALE,18.0,FY,65.4,79.4,61.7,7.4,88.6,6.16
34,Student_034,male,22.0,BE,80.1,70.1,78.9,23.0,,4.59
35,Student_035,female,22.0,TY,66.2,67.3,82.6,68.4,90.0,4.79
36,Student_036,Female,22.0,TY,64.5,61.4,63.2,60.4,63.5,13.47
37,Student_037,MALE,18.0,FY,89.1,67.7,55.0,26.2,78.8,6.31
38,Student_038,Male,20.0,TY,65.6,78.7,60.8,99.0,62.2,3.88
39,Student_039,Male,22.0,FY,30.2,84.5,77.9,21.3,80.9,1.35
40,Student_040,M,21.0,SY,75.2,78.3,69.3,26.2,76.8,7.37
41,Student_041,M,18.0,TY,64.1,88.4,76.8,5.0,93.7,35.0
42,Student_042,F,18.0,SY,65.7,100.0,92.7,58.9,73.3,3.91
43,Student_043,male,20.0,FY,76.8,68.1,71.2,40.8,64.4,5.46
44,Student_044,FEMALE,18.0,BE,67.5,69.5,56.7,26.4,65.4,13.74
45,Student_045,MALE,18.0,TY,73.2,54.7,82.8,16.7,88.9,10.12
46,Student_046,MALE,22.0,FY,39.7,86.3,68.7,29.2,83.5,42.0
47,Student_047,FEMALE,20.0,BE,55.9,87.6,80.2,14.8,63.8,13.27
48,Student_048,F,22.0,BE,91.1,61.6,82.9,18.7,63.2,9.23
49,Student_049,female,22.0,SY,69.7,79.4,54.6,32.7,86.6,0.85
50,Student_050,female,20.0,FY,44.9,86.6,87.3,38.0,62.8,12.94
